iter	Passed	Remaining
894	4514	529
895	4518	524
896	4520	519
897	4523	513
898	4525	508
899	4526	502
900	4528	497
901	4531	492
902	4532	486
903	4538	482
904	4540	476
905	4542	471
906	4543	465
907	4545	460
908	4547	455
909	4549	449
910	4551	444
911	4553	439
912	4555	434
913	4557	428
914	4559	423
915	4560	418
916	4562	412
917	4564	407
918	4565	402
919	4566	397
920	4568	391
921	4570	386
922	4571	381
923	4572	376
924	4573	370
925	4574	365
926	4576	360
927	4577	355
928	4579	349
929	4581	344
930	4582	339
931	4583	334
932	4585	329
933	4587	324
934	4588	318
935	4590	313
936	4591	308
937	4593	303
938	4595	298
939	4596	293
940	4597	288
941	4599	283
942	4600	278
943	4602	273
944	4603	267
945	4604	262
946	4606	257
947	4607	252
948	4609	247
949	4610	242
950	4612	237
951	4621	233
952	4623	228
953	4624	222
954	4626	217
955	4627	212
956	4628	207
957	4629	202
958	4630	197
959	4631	192
960	4632	188
961	4634	183
962	4635	178
963	4636	173
964	4638	168
965	4639	163
966	4640	158
967	4641	153
968	4643	148
969	4644	143
970	4646	138
971	4647	133
972	4649	129
973	4650	124
974	4652	119
975	4653	114
976	4655	109
977	4656	104
978	4657	99
979	4658	95
980	4660	90
981	4661	85
982	4663	80
983	4664	75
984	4666	71
985	4667	66
986	4668	61
987	4670	56
988	4671	51
989	4673	47
990	4674	42
991	4675	37
992	4676	32
993	4677	28
994	4679	23
995	4680	18
996	4682	14
997	4683	9
998	4684	4
999	4686	0
2	44
990	4394	39
991	4396	35
992	4399	31
993	4401	26
994	4404	22
995	4406	17
996	4408	13
997	4412	8
998	4413	4
999	4424	0
